m,n,mu,nu,Re[A],Im[A],Re[B],Im[B]
-1,1,-1,1,0.3896345131043052,0.4485388185768457,-0.46153647141314824,-0.5731462422124636
-1,1,0,1,0.05608607368208977,0.2332807138857207,-0.18569294314203277,-0.0769496492230979
-1,1,1,1,0.04399398319324973,0.048575575880358324,0.,0.
-1,1,-2,2,2.1839206090670378,-0.8057981178043742,-3.3199103422516636,3.4647382256459385
-1,1,-1,2,-0.2777514487889686,1.651435282225633,0.9752130046280341,-3.6069810045491173
-1,1,0,2,-1.1794255182935016,0.7517919572684164,-0.2804303684104488,-1.1664035694286037
-1,1,1,2,-0.2151005749868686,0.3066625317978374,-0.07332330532208288,-0.08095929313393053
-1,1,2,2,-0.0057015766466200065,0.05083978369434849,0.,0.
-1,1,-3,3,27.71668969308358,-22.485268774381844,23.856087433168035,40.724087271775986
-1,1,-2,3,-11.066783355573737,30.374514180707287,-45.69029059131999,-27.4431052346268
-1,1,-1,3,-1.5499642594004572,2.4831864914973845,11.636526041198893,0.4760241108823017
-1,1,0,3,-3.7867806535564297,-6.46458618632188,4.77791461502437,-2.3619480781586146
-1,1,1,3,-1.7431109170271972,-1.1136029227448243,0.37642600622702005,-0.5366594306462156
-1,1,2,3,-0.28235463079266704,-0.020918899493467976,0.003991103652634005,-0.03558784858604394
-1,1,3,3,-0.02347448641247996,0.010653805371817858,0.,0.
-1,1,-4,4,-84.93317725444761,-1100.9116052640165,813.5453984551233,-55.112642604084755
-1,1,-3,4,716.9318867707011,1099.109197568898,-896.9376031160804,571.9274233879505
-1,1,-2,4,-372.6136776950494,-198.3269848153611,219.1178225212235,-398.10120374961934
-1,1,-1,4,-76.79890270797912,-0.5756173833276361,-0.05188274002198621,16.439915578906017
-1,1,0,4,35.803396937317046,-19.729581247780807,12.033374844854366,22.19312712559429
-1,1,1,4,6.810187824527878,-10.624107521740644,3.1903924304808546,2.062775951997114
-1,1,2,4,0.1246535482621775,-1.7591679145279373,0.28235463079266704,0.02091889949346798
-1,1,3,4,-0.06723557777695288,-0.1469674649589148,0.010060494176777124,-0.004565916587921938
-1,1,4,4,-0.008840862813858657,-0.006606274257988066,0.,0.
-1,1,-5,5,-38428.52198726841,-17575.720306800613,9324.625145359023,-20367.048098622345
-1,1,-4,5,56090.002634611374,-3992.8331747849747,2229.3303204795593,31499.99963510011
-1,1,-3,5,-22596.677110857774,14519.649002445389,-9198.335563301955,-14330.025973205555
-1,1,-2,5,1560.58551698006,-2861.2507047708054,3019.1792608405503,1649.9408495413522
-1,1,-1,5,0.05717119437966252,-1265.511267017019,259.65181900381225,0.03680330457233886
-1,1,0,5,87.04804963607802,159.23134915733533,-107.84453099999115,58.89588929920879
-1,1,1,5,67.9942001806809,43.6526562316931,-12.781107635574722,19.89919143774654
-1,1,2,5,12.016795187326924,0.8519647040945083,-0.14803306300743813,2.08329142820503
-1,1,3,5,1.026651640858269,-0.4698560041432016,0.04622445972165512,0.10104013215925395
-1,1,4,5,0.04658150256093015,-0.06235569058070681,0.0027013747486790344,0.0020185838010519097
-1,1,5,5,0.000600069789168306,-0.004209513548140118,0.,0.
0,1,-1,1,-0.33199103422516635,0.34647382256459386,-0.07115885650139839,-0.3956625932971747
0,1,0,1,0.5846771140299121,-0.27285738233297774,0.,0.
0,1,1,1,-0.05608607368208977,-0.2332807138857207,-0.18569294314203277,-0.0769496492230979
0,1,-2,2,2.2720083269683844,3.8784845020739036,-2.4991041235025806,0.791561739094697
0,1,-1,2,-5.435224065655051,-4.323342663848873,1.6599551711258318,-1.7323691128229692
0,1,0,2,2.58543380585471,1.2142959288366844,0.,0.
0,1,1,2,1.095771917432389,-0.37294522280711445,-0.09347678947014962,-0.3888011898095346
0,1,2,2,0.1075502874934343,-0.1533312658989187,-0.07332330532208288,-0.08095929313393053
0,1,-3,3,67.79544987126029,-4.592720217007064,0.7711162632241247,25.7723479079739
0,1,-2,3,-90.4208371152033,56.05240189608945,-15.90405828877869,-27.149391514517323
0,1,-1,3,29.65828127218305,-49.77704824432453,9.138058118263999,5.48862104692536
0,1,0,3,-0.7870881023720254,5.077573547493429,0.,0.
0,1,1,3,2.1551253372946344,4.320936424627638,0.7963191025040617,-0.3936580130264358
0,1,2,3,0.7383054177912454,0.4907783732529308,0.15057040249080803,-0.21466377225848624
0,1,3,3,0.09411821026422233,0.006972966497822659,0.003991103652634004,-0.035587848586043934
0,1,-4,4,678.1545560261108,-1481.2398617179888,404.46906831044015,186.65437778770837
0,1,-3,4,181.4330984572571,2588.4084291476415,-610.1590488413426,41.33448195306357
0,1,-2,4,-870.292448841067,-1360.9069014588863,256.26788660459437,-163.40783525370014
0,1,-1,4,346.3168840161949,191.02464395110766,-24.346424724580388,44.23346708329104
0,1,0,4,25.931744881276476,-0.22221714142436233,0.,0.
0,1,1,4,-17.39287531315677,9.410227692214292,1.2033374844854365,2.219312712559429
0,1,2,4,-2.431388039416111,3.7713660727619267,0.7089760956624122,0.4583946559993586
0,1,3,4,-0.036837065927755,0.5135136435139138,0.12100912748257156,0.008965242640057701
0,1,4,4,0.01680889444423822,0.0367418662397287,0.010060494176777124,-0.004565916587921938
0,1,-5,5,-33806.608084058345,-45255.55226567645,9804.824809969768,-7322.257700476884
0,1,-4,5,83530.7836016591,38231.23784709842,-7459.700116287218,16293.638478897878
0,1,-3,5,-62056.002223282274,4396.992553881595,-743.1101068265199,-10499.999878366703
0,1,-2,5,17256.965548188935,-11077.81081435636,1533.0559272169924,2388.3376622009255
0,1,-1,5,-1048.103430460414,1917.1934903016042,-215.65566148861075,-117.8529178243823
0,1,0,5,0.015178864930924872,494.1485687156098,0.,0.
0,1,1,5,-34.898999802843704,-63.9270896471801,-7.18963539999941,3.9263926199472525
0,1,2,5,-20.541019630521195,-13.192521954197023,-1.8258725193678176,2.842741633963792
0,1,3,5,-3.078148819182191,-0.2184699354147734,-0.03700826575185954,0.5208228570512576
0,1,4,5,-0.2301941690045143,0.10534253948491779,0.020544204320735605,0.04490672540411286
0,1,5,5,-0.009316300512186031,0.012471138116141362,0.0027013747486790344,0.0020185838010519097
1,1,-1,1,-0.24991041235025804,0.07915617390946969,0.,0.
1,1,0,1,0.33199103422516635,-0.34647382256459386,-0.07115885650139839,-0.3956625932971747
1,1,1,1,0.3896345131043052,0.4485388185768457,0.46153647141314824,0.5731462422124636
1,1,-2,2,0.07343964411658332,2.4545093245689427,0.,0.
1,1,-1,2,-2.2720083269683844,-3.8784845020739036,-1.2495520617512903,0.3957808695473485
1,1,0,2,2.5397148915740293,1.1725148486814994,1.6599551711258318,-1.7323691128229695
1,1,1,2,-0.0925838162629894,0.5504784274085444,-0.32507100154267804,1.2023270015163725
1,1,2,2,-0.04182680043055626,0.18942336723065104,0.09347678947014962,0.3888011898095346
1,1,-3,3,33.705755692536684,15.55453148230903,0.,0.
