n,m,real[N_mn_rho],imag[N_mn_rho],real[N_mn_theta],imag[N_mn_theta],imag[N_mn_phi],imag[N_mn_phi]
1,-1,2.0129411749586747e-6,6.407390762961569e-9,-4.965075285786785e-6,0.0015598085999004242,0.0015915333051517368,5.066059182145747e-6
1,0,-0.000019860301143033995,-6.32173019641886e-8,-2.012941174970141e-6,0.000632377713345095,0.,0.
1,1,-4.0258823499173495e-6,-1.2814781525923138e-8,9.93015057157357e-6,-0.0031196171998008485,0.0031830666103034736,0.000010132118364291495
2,-2,-2.8641420787987424e-9,2.999231402717569e-7,-0.00015493521576837678,-1.4795822933399732e-6,-1.5096752881819489e-6,0.00015808641909781997
2,-1,5.651702584159841e-8,-5.9182692069318e-6,0.0014658249839558457,0.000013998164850002339,0.000014894924016895664,-0.0015597295782729676
2,0,-5.461579148531083e-7,0.00005719178462533575,0.0018592225892205213,0.00001775498752007968,0.,0.
2,1,-3.391021550495904e-7,0.000035509615241590796,-0.00879494990373508,-0.00008398898910001407,0.00008936954410137399,-0.009358377469637807
2,2,-6.873940989116983e-8,7.198155366522167e-6,-0.003718445178441042,-0.00003550997504015935,0.00003623220691636677,-0.0037940740583476793
3,-3,-1.9859428205287514e-8,-3.793351844813976e-10,1.4696562151292474e-7,-7.694049339738988e-6,-7.850537416229825e-6,-1.4995473250056214e-7
3,-2,5.87817810463692e-7,1.1227915288836361e-8,-2.840433876529691e-6,0.00014870442602362997,0.000154911667723406,2.9589996790099062e-6
3,-1,-0.000011480028621351373,-2.1928016909231052e-7,0.00002537921926633664,-0.0013286710404043413,-0.0015127054229975745,-0.000028894497921734424
3,0,0.00010738734022595634,2.0512069176661376e-6,0.00006888540678924322,-0.0036063380889238598,0.,0.
3,1,0.0001377603434562165,2.631362029107726e-6,-0.00030455063119603945,0.015944052484852086,-0.0181524650759709,-0.00034673397506081307
3,2,0.00007053813725564304,1.3473498346603635e-6,-0.0003408520651835629,0.017844531122835596,-0.01858940012680872,-0.0003550799614811888
3,3,0.000014298788307807013,2.7312133282660623e-7,-0.00010581524748930585,0.005539715524612072,-0.005652386939685473,-0.00010796740740040473
4,-4,2.6165332797905536e-11,-8.217208116530367e-10,2.546741665813275e-7,8.109447648364869e-9,8.274384446643681e-9,-2.598539449659526e-7
4,-3,-1.032621112506731e-9,3.242940822701918e-8,-7.434832620638547e-6,-2.3674323438757561e-7,-2.449129198526439e-7,7.691398533295664e-6
4,-2,3.0355156592396e-8,-9.5330199335188e-7,0.00014059654316875004,4.476937420364353e-6,4.7996759208745936e-6,-0.00015073202491857373
4,-1,-5.845300593968337e-7,0.00001835713379046386,-0.001152834289151137,-0.00003670906021057153,-0.0000462121623812867,0.0014512756541129148
4,0,5.220761806218047e-6,-0.0001639577322401216,-0.0057664792600355475,-0.00018361878749765856,0.,0.
4,1,0.000011690601187936676,-0.0003671426758092772,0.02305668578302274,0.0007341812042114305,-0.0009242432476257341,0.029025513082258297
4,2,0.000010927856373262558,-0.00034318871760667674,0.050614755540750046,0.0016116974713311681,-0.0017278833315148535,0.054263528970686536
4,3,5.2044104070339235e-6,-0.0001634442174641767,0.03747155640801826,0.0011931859013133805,-0.0012343611160573252,0.03876464860781015
4,4,1.0549862184115511e-6,-0.000033131783125850434,0.010268462396559125,0.0003269729291820716,-0.0003336231808886732,0.010477311061027207
