n,m,real[N_mn_rho],cmplx[N_mn_rho],real[N_mn_theta],cmplx[N_mn_theta],real[N_mn_phi],cmplx[N_mn_phi]
1,-1,-3.2148248867592327e-44,-1.8149911718137216e-44,7.113722099223602e-42,3.963631897693961e-42,4.044247592265121e-42,-7.258406989954442e-42
1,0,3.1718458128548793e-43,1.7907265096760062e-43,2.884045718664886e-42,1.6069359254496978e-42,0.,0.
1,1,6.429649773518465e-44,3.629982343627443e-44,-1.4227444198447205e-41,-7.927263795387922e-42,8.088495184530242e-42,-1.4516813979908883e-41
2,-2,2.76580427361213e-45,-4.897541681091099e-45,-4.027724753190692e-43,7.226592503869575e-43,7.373573048258962e-43,4.10964402241164e-43
2,-1,-5.4576563349155005e-44,9.664132648985835e-44,3.8105859551972426e-42,-6.836999444255549e-42,-7.274995566702966e-42,-4.054702089217304e-42
2,0,5.274060620628734e-43,-9.339030951888946e-43,4.8332697038288304e-42,-8.671911004643492e-42,0.,0.
2,1,3.2745938009493e-43,-5.798479589391501e-43,-2.286351573118347e-41,4.102199666553332e-41,-4.36499734002178e-41,-2.4328212535303826e-41
2,2,6.637930256669111e-44,-1.1754100034618634e-43,-9.666539407657658e-42,1.734382200928698e-41,-1.769657531582151e-41,-9.863145653787938e-42
3,-3,3.3529674277129697e-46,1.8943564688197315e-46,-3.711988239818823e-44,-2.069795345606586e-44,-2.111892592200881e-44,3.787485793052029e-44
3,-2,-9.924424568223771e-45,-5.60709231015458e-45,7.1742336997730796e-43,4.0003347426577534e-43,4.167317295172648e-43,-7.473701602484285e-43
3,-1,1.93823113327882e-43,1.095060051895275e-43,-6.410163307759694e-42,-3.574291005735167e-42,-4.069366474715689e-42,7.298035783934344e-42
3,0,-1.813074627347507e-42,-1.0243492437119772e-42,-1.7398750623751766e-41,-9.701499771499486e-42,0.,0.
3,1,-2.3258773599345842e-42,-1.3140720622743304e-42,7.692195969311628e-41,4.2891492068821973e-41,-4.883239769658828e-41,8.757642940721214e-41
3,2,-1.1909309481868525e-42,-6.728510772185494e-43,8.609080439727696e-41,4.800401691189305e-41,-5.000780754207178e-41,8.968441922981142e-41
3,3,-2.4141365479533386e-43,-1.3639366575502067e-43,2.6726315326695536e-41,1.4902526488367424e-41,-1.5205626663846342e-41,2.7269897709974607e-41
4,-4,-8.200795163346632e-48,1.4506801720074225e-47,7.171878374496906e-46,-1.2854430118535752e-45,-1.3115874379524049e-45,-7.317746096692893e-46
4,-3,3.236463411500228e-46,-5.7251439707645215e-46,-2.0937229718167758e-44,3.7526592370133e-44,3.8821583785760574e-44,2.1659744901124505e-44
4,-2,-9.513978793553789e-45,1.6829758721927749e-44,3.959338793630552e-43,-7.096473361750473e-43,-7.608051915711097e-43,-4.244764062131256e-43
4,-1,1.832046747105005e-43,-3.2408002361704545e-43,-3.246496265690639e-42,5.818818613238824e-42,7.325172289341466e-42,4.0869368962251863e-42
4,0,-1.636302450272865e-42,2.894538240178788e-42,-1.623898036349404e-41,2.91057415336399e-41,0.,0.
4,1,-3.6640934942100105e-42,6.481600472340909e-42,6.492992531381278e-41,-1.1637637226477646e-40,1.4650344578682933e-40,8.173873792450373e-41
4,2,-3.425032365679364e-42,6.058713139893988e-42,1.4253619657069993e-40,-2.554730410230171e-40,2.738898689655995e-40,1.5281150623672519e-40
4,3,-1.6311775593961153e-42,2.885472561265319e-42,1.0552363777956546e-40,-1.8913402554547024e-40,1.9566078228023335e-40,1.0916511430166753e-40
4,4,-3.3065606098613617e-43,5.8491424535339284e-43,2.8917013605971526e-41,-5.182906223793615e-41,5.288320549824095e-41,2.9505152261865737e-41
5,-5,-4.569359140003065e-49,-2.584962244730615e-49,3.376154345367473e-47,1.8850643129018103e-47,1.9234043436660976e-47,-3.444821425095438e-47
5,-4,2.2541356319813663e-47,1.2752019100800882e-47,-1.3187197742220316e-45,-7.363027074028257e-46,-7.590761212545138e-46,1.3595070086988607e-45
5,-3,-8.850306555114387e-46,-5.00676519360814e-46,3.8019846998807352e-44,2.1228252451721936e-44,2.2352436150429797e-44,-4.003326248463832e-44
5,-2,2.5790215345924055e-44,1.458995253164563e-44,-6.985957890601068e-43,-3.900585863047538e-43,-4.34240432415659e-43,7.777255729686832e-43
5,-1,-4.876677705724504e-43,-2.758817453996165e-43,5.04330147850328e-42,2.8159102528521096e-42,4.1055311234931027e-42,-7.353015304441038e-42
5,0,4.089355250446277e-42,2.3134160839210035e-42,4.382455889577443e-41,2.446929362588017e-41,0.,0.
5,1,1.4630033117173512e-41,8.276452361988496e-42,-1.5129904435509831e-40,-8.447730758556324e-41,1.2316593370479307e-40,-2.205904591332311e-40
5,2,2.1663780890576207e-41,1.2255560126582329e-41,-5.868204628104894e-40,-3.2764921249599314e-40,3.6476196322915367e-40,-6.53289481293694e-40
5,3,1.7842218015110607e-41,1.009363863031401e-41,-7.664801154959563e-40,-4.2796156942671435e-40,4.506251127926646e-40,-8.070705716903082e-40
5,4,8.179807381333982e-42,4.6274526912986235e-42,-4.7853703166969086e-40,-2.6718952646233733e-40,2.754535428808379e-40,-4.933379033166425e-40
5,5,1.658129044724312e-42,9.380310993678457e-43,-1.2251388888469487e-40,-6.840521378658091e-41,6.979649682295535e-41,-1.2500567987386327e-40
